Sqrt(A) (m),Rn,t (cm),Dmax (mm)
10,0.1,4.5,60.059
11,0.1,4.5,79.4
12,0.1,4.5,102.313
13,0.1,4.5,129.03
14,0.1,4.5,159.771
15,0.1,4.5,194.755
16,0.1,4.5,234.193
17,0.1,4.5,278.296
18,0.1,4.5,327.274
2,0.11,4.5,0.466
3,0.11,4.5,1.554
4,0.11,4.5,3.628
5,0.11,4.5,7.007
6,0.11,4.5,12.014
7,0.11,4.5,18.96
8,0.11,4.5,28.133
9,0.11,4.5,39.795
10,0.11,4.5,54.187
11,0.11,4.5,71.531
12,0.11,4.5,92.035
13,0.11,4.5,115.902
14,0.11,4.5,143.325
15,0.11,4.5,174.499
16,0.11,4.5,209.613
17,0.11,4.5,248.859
18,0.11,4.5,292.426
2,0.12,4.5,0.427
3,0.12,4.5,1.419
4,0.12,4.5,3.31
5,0.12,4.5,6.395
6,0.12,4.5,10.966
7,0.12,4.5,17.3
8,0.12,4.5,25.645
9,0.12,4.5,36.23
10,0.12,4.5,49.261
11,0.12,4.5,64.931
12,0.12,4.5,83.425
13,0.12,4.5,104.923
14,0.12,4.5,129.599
15,0.12,4.5,157.629
16,0.12,4.5,189.187
17,0.12,4.5,224.446
18,0.12,4.5,263.583
2,0.13,4.5,0.394
3,0.13,4.5,1.304
4,0.13,4.5,3.042
5,0.13,4.5,5.879
6,0.13,4.5,10.081
7,0.13,4.5,15.891
8,0.13,4.5,23.53
9,0.13,4.5,33.195
10,0.13,4.5,45.068
11,0.13,4.5,59.32
12,0.13,4.5,76.119
13,0.13,4.5,95.625
14,0.13,4.5,117.999
15,0.13,4.5,143.402
16,0.13,4.5,171.995
17,0.13,4.5,203.938
18,0.13,4.5,239.393
2,0.14,4.5,0.365
3,0.14,4.5,1.206
4,0.14,4.5,2.813
5,0.14,4.5,5.437
6,0.14,4.5,9.321
7,0.14,4.5,14.68
8,0.14,4.5,21.707
9,0.14,4.5,30.579
10,0.14,4.5,41.458
11,0.14,4.5,54.498
12,0.14,4.5,69.851
13,0.14,4.5,87.665
14,0.14,4.5,108.089
15,0.14,4.5,131.273
16,0.14,4.5,157.364
17,0.14,4.5,186.513
18,0.14,4.5,218.868
2,0.15,4.5,0.34
3,0.15,4.5,1.121
4,0.15,4.5,2.615
5,0.15,4.5,5.055
6,0.15,4.5,8.661
7,0.15,4.5,13.625
8,0.15,4.5,20.12
9,0.15,4.5,28.303
10,0.15,4.5,38.32
11,0.15,4.5,50.315
12,0.15,4.5,64.424
13,0.15,4.5,80.789
14,0.15,4.5,99.545
15,0.15,4.5,120.833
16,0.15,4.5,144.791
17,0.15,4.5,171.558
18,0.15,4.5,201.273
2,0.16,4.5,0.318
3,0.16,4.5,1.046
4,0.16,4.5,2.442
5,0.16,4.5,4.721
6,0.16,4.5,8.082
7,0.16,4.5,12.698
8,0.16,4.5,18.725
9,0.16,4.5,26.305
10,0.16,4.5,35.572
11,0.16,4.5,46.657
12,0.16,4.5,59.69
13,0.16,4.5,74.8
14,0.16,4.5,92.117
15,0.16,4.5,111.771
16,0.16,4.5,133.891
17,0.16,4.5,158.608
18,0.16,4.5,186.051
2,0.17,4.5,0.298
3,0.17,4.5,0.981
4,0.17,4.5,2.29
5,0.17,4.5,4.426
6,0.17,4.5,7.569
7,0.17,4.5,11.877
8,0.17,4.5,17.49
9,0.17,4.5,24.538
10,0.17,4.5,33.147
11,0.17,4.5,43.436
12,0.17,4.5,55.529
13,0.17,4.5,69.547
14,0.17,4.5,85.611
15,0.17,4.5,103.844
16,0.17,4.5,124.368
17,0.17,4.5,147.303
18,0.17,4.5,172.771
2,0.18,4.5,0.281
3,0.18,4.5,0.923
4,0.18,4.5,2.155
5,0.18,4.5,4.163
6,0.18,4.5,7.112
7,0.18,4.5,11.144
8,0.18,4.5,16.39
9,0.18,4.5,22.968
10,0.18,4.5,30.994
11,0.18,4.5,40.583
12,0.18,4.5,51.85
13,0.18,4.5,64.909
14,0.18,4.5,79.875
15,0.18,4.5,96.863
16,0.18,4.5,115.987
17,0.18,4.5,137.362
18,0.18,4.5,161.1
2,0.19,4.5,0.265
3,0.19,4.5,0.871
4,0.19,4.5,2.035
5,0.19,4.5,3.927
6,0.19,4.5,6.701
7,0.19,4.5,10.487
8,0.19,4.5,15.404
9,0.19,4.5,21.563
10,0.19,4.5,29.073
11,0.19,4.5,38.042
12,0.19,4.5,48.578
13,0.19,4.5,60.79
14,0.19,4.5,74.786
15,0.19,4.5,90.676
16,0.19,4.5,108.565
17,0.19,4.5,128.563
18,0.19,4.5,150.774
2,0.2,4.5,0.251
3,0.2,4.5,0.825
4,0.2,4.5,1.926
5,0.2,4.5,3.715
6,0.2,4.5,6.331
7,0.2,4.5,9.895
8,0.2,4.5,14.516
9,0.2,4.5,20.301
10,0.2,4.5,27.35
11,0.2,4.5,35.766
12,0.2,4.5,45.652
13,0.2,4.5,57.112
14,0.2,4.5,70.247
15,0.2,4.5,85.16
16,0.2,4.5,101.952
17,0.2,4.5,120.726
18,0.2,4.5,141.58
2,0.21,4.5,0.239
3,0.21,4.5,0.783
4,0.21,4.5,1.828
5,0.21,4.5,3.522
6,0.21,4.5,5.995
7,0.21,4.5,9.358
8,0.21,4.5,13.714
9,0.21,4.5,19.161
10,0.21,4.5,25.797
11,0.21,4.5,33.719
12,0.21,4.5,43.024
13,0.21,4.5,53.811
14,0.21,4.5,66.176
15,0.21,4.5,80.217
16,0.21,4.5,96.029
17,0.21,4.5,113.708
18,0.21,4.5,133.349
2,0.22,4.5,0.227
3,0.22,4.5,0.745
4,0.22,4.5,1.738
5,0.22,4.5,3.346
6,0.22,4.5,5.689
7,0.22,4.5,8.87
8,0.22,4.5,12.985
9,0.22,4.5,18.129
10,0.22,4.5,24.393
11,0.22,4.5,31.87
12,0.22,4.5,40.653
13,0.22,4.5,50.835
14,0.22,4.5,62.508
15,0.22,4.5,75.765
16,0.22,4.5,90.697
17,0.22,4.5,107.393
18,0.22,4.5,125.943
2,0.23,4.5,0.216
3,0.23,4.5,0.71
4,0.23,4.5,1.656
5,0.23,4.5,3.186
6,0.23,4.5,5.409
7,0.23,4.5,8.424
8,0.23,4.5,12.322
9,0.23,4.5,17.19
10,0.23,4.5,23.117
11,0.23,4.5,30.192
12,0.23,4.5,38.504
13,0.23,4.5,48.141
14,0.23,4.5,59.19
15,0.23,4.5,71.74
16,0.23,4.5,85.876
17,0.23,4.5,101.684
18,0.23,4.5,119.249
2,0.24,4.5,0.207
3,0.24,4.5,0.678
4,0.24,4.5,1.581
5,0.24,4.5,3.038
6,0.24,4.5,5.153
7,0.24,4.5,8.016
8,0.24,4.5,11.715
9,0.24,4.5,16.333
10,0.24,4.5,21.955
11,0.24,4.5,28.665
12,0.24,4.5,36.549
13,0.24,4.5,45.691
14,0.24,4.5,56.174
15,0.24,4.5,68.082
16,0.24,4.5,81.496
17,0.24,4.5,96.498
18,0.24,4.5,113.168
2,0.25,4.5,0.198
3,0.25,4.5,0.649
4,0.25,4.5,1.512
5,0.25,4.5,2.902
6,0.25,4.5,4.917
7,0.25,4.5,7.641
8,0.25,4.5,11.158
9,0.25,4.5,15.548
10,0.25,4.5,20.892
11,0.25,4.5,27.27
12,0.25,4.5,34.765
13,0.25,4.5,43.456
14,0.25,4.5,53.423
15,0.25,4.5,64.747
16,0.25,4.5,77.504
17,0.25,4.5,91.771
